No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2963.02B,38.61,398.67,1.22%,"27,989,229"
2,AAPL,Apple Inc,Technology,Consumer Electronics,USA,2961.88B,31.25,191.56,1.55%,"68,713,330"
3,GOOG,Alphabet Inc,Communication Services,Internet Content & Information,USA,1851.99B,28.37,147.97,2.06%,"26,837,409"
4,GOOGL,Alphabet Inc,Communication Services,Internet Content & Information,USA,1832.09B,28.06,146.38,2.02%,"33,153,817"
5,AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,USA,1605.28B,81.11,155.34,1.20%,"47,867,546"
6,NVDA,NVIDIA Corp,Technology,Semiconductors,USA,1469.43B,78.55,594.91,4.17%,"53,829,277"
7,META,Meta Platforms Inc,Communication Services,Internet Content & Information,USA,985.42B,33.85,383.45,1.95%,"19,273,528"
8,BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,801.66B,10.56,556710.00,1.32%,"8,834"
9,BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,794.90B,10.44,366.99,1.27%,"3,995,921"
10,TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers,USA,674.54B,68.33,212.19,0.15%,"101,684,131"
11,LLY,Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,USA,596.72B,116.03,628.58,0.84%,"3,096,846"
12,TSM,Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,592.29B,22.03,114.20,1.04%,"37,705,047"
13,AVGO,Broadcom Inc,Technology,Semiconductors,USA,567.01B,36.77,1211.20,5.88%,"5,297,994"
14,V,Visa Inc,Financial,Credit Services,USA,544.53B,33.23,270.90,1.03%,"7,221,406"
15,JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,USA,492.37B,10.50,170.31,1.73%,"13,044,928"
16,UNH,Unitedhealth Group Inc,Healthcare,Healthcare Plans,USA,465.75B,21.12,503.56,-2.48%,"6,140,441"
17,WMT,Walmart Inc,Consumer Defensive,Discount Stores,USA,437.16B,26.96,162.38,-0.53%,"6,389,073"
18,MA,Mastercard Incorporated,Financial,Credit Services,USA,409.60B,38.04,436.78,1.41%,"2,400,043"
19,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,389.21B,30.86,161.68,0.29%,"6,971,051"
20,XOM,Exxon Mobil Corp.,Energy,Oil & Gas Integrated,USA,387.49B,9.64,96.95,0.15%,"19,965,683"
